ts_utc,ts_nyt_epoch,open,high,low,close,volume
2022-09-06T09:30:00-04:00,1662471000,295.66,296.53,295.39,296.4,616782.0
2022-09-06T09:31:00-04:00,1662471060,296.41,296.6,295.58,295.64,347799.0
2022-09-06T09:32:00-04:00,1662471120,295.61,295.78,295.21,295.21,244419.0
2022-09-06T09:33:00-04:00,1662471180,295.2,295.32,294.89,295.07,217833.0
2022-09-06T09:34:00-04:00,1662471240,295.06,295.26,294.9,295.1,250432.0
2022-09-06T09:35:00-04:00,1662471300,295.07,295.78,294.975,295.46,251311.0
2022-09-06T09:36:00-04:00,1662471360,295.45,295.59,295.07,295.11,163549.0
2022-09-06T09:37:00-04:00,1662471420,295.09,295.55,295.05,295.305,146866.0
2022-09-06T09:38:00-04:00,1662471480,295.2899,295.38,294.6201,294.64,221294.0
2022-09-06T09:39:00-04:00,1662471540,294.63,294.88,294.54,294.5682,206852.0
2022-09-06T09:40:00-04:00,1662471600,294.57,294.97,294.47,294.49,287183.0
2022-09-06T09:41:00-04:00,1662471660,294.4901,294.75,294.41,294.74,161291.0
2022-09-06T09:42:00-04:00,1662471720,294.74,295.31,294.7101,295.285,257537.0
2022-09-06T09:43:00-04:00,1662471780,295.26,295.31,294.8,294.8366,215890.0
2022-09-06T09:44:00-04:00,1662471840,294.84,294.885,294.46,294.7504,199654.0
2022-09-06T09:45:00-04:00,1662471900,294.81,295.145,294.52,294.7799,206940.0
2022-09-06T09:46:00-04:00,1662471960,294.76,294.78,294.31,294.454,188640.0
2022-09-06T09:47:00-04:00,1662472020,294.4399,294.64,294.05,294.0908,198065.0
2022-09-06T09:48:00-04:00,1662472080,294.09,294.5,293.98,294.36,253799.0
2022-09-06T09:49:00-04:00,1662472140,294.32,294.5,294.16,294.17,111394.0
2022-09-06T09:50:00-04:00,1662472200,294.13,294.33,293.87,293.93,171579.0
2022-09-06T09:51:00-04:00,1662472260,293.91,294.24,293.89,294.18,239348.0
2022-09-06T09:52:00-04:00,1662472320,294.1876,294.22,293.82,293.89,163204.0
2022-09-06T09:53:00-04:00,1662472380,293.91,293.91,293.46,293.48,221181.0
2022-09-06T09:54:00-04:00,1662472440,293.4899,293.58,293.25,293.32,250800.0
2022-09-06T09:55:00-04:00,1662472500,293.31,293.42,293.07,293.1696,176258.0
2022-09-06T09:56:00-04:00,1662472560,293.16,293.19,293.03,293.09,146720.0
2022-09-06T09:57:00-04:00,1662472620,293.08,293.37,293.0562,293.33,192095.0
2022-09-06T09:58:00-04:00,1662472680,293.32,293.36,293.04,293.22,139491.0
2022-09-06T09:59:00-04:00,1662472740,293.19,293.75,293.16,293.689,182286.0
2022-09-06T10:00:00-04:00,1662472800,293.66,293.69,293.01,293.05,357948.0
2022-09-06T10:01:00-04:00,1662472860,293.05,293.0799,292.0,292.0,497164.0
2022-09-06T10:02:00-04:00,1662472920,292.0,292.34,291.66,291.78,662484.0
2022-09-06T10:03:00-04:00,1662472980,291.785,291.87,291.58,291.6,274166.0
2022-09-06T10:04:00-04:00,1662473040,291.66,291.93,291.53,291.91,281862.0
2022-09-06T10:05:00-04:00,1662473100,291.89,292.08,291.78,291.8,156512.0
2022-09-06T10:06:00-04:00,1662473160,291.79,291.815,291.48,291.51,157134.0
2022-09-06T10:07:00-04:00,1662473220,291.525,291.74,291.26,291.31,273471.0
2022-09-06T10:08:00-04:00,1662473280,291.34,291.71,291.34,291.5673,133843.0
2022-09-06T10:09:00-04:00,1662473340,291.565,291.83,291.4658,291.585,166892.0
2022-09-06T10:10:00-04:00,1662473400,291.62,291.7701,291.44,291.5099,148620.0
2022-09-06T10:11:00-04:00,1662473460,291.51,291.64,291.31,291.63,123912.0
2022-09-06T10:12:00-04:00,1662473520,291.595,291.66,290.87,290.93,347942.0
2022-09-06T10:13:00-04:00,1662473580,290.9197,291.1271,290.88,290.94,175115.0
2022-09-06T10:14:00-04:00,1662473640,290.9552,291.75,290.94,291.72,183916.0
2022-09-06T10:15:00-04:00,1662473700,291.7,291.82,291.46,291.665,159165.0
2022-09-06T10:16:00-04:00,1662473760,291.6568,291.69,291.4,291.57,111989.0
2022-09-06T10:17:00-04:00,1662473820,291.57,291.6072,291.22,291.36,144289.0
2022-09-06T10:18:00-04:00,1662473880,291.36,291.65,291.2301,291.56,96007.0
2022-09-06T10:19:00-04:00,1662473940,291.525,291.81,291.525,291.75,134545.0
2022-09-06T10:20:00-04:00,1662474000,291.74,291.855,291.48,291.4933,116059.0
2022-09-06T10:21:00-04:00,1662474060,291.48,291.7,291.342,291.68,64679.0
